Stan głównej elektroniki,GPS szerokość,GPS długość,GPS wysokość,GPS czas,Czas misji [s],GPS sygnał,GPS ilość satelit,Karta SD,Ciśnienie statyczne,Ciśnienie dynamiczne,Stan modułu odpalania,Wysokość n.p.m,Wysokość lotu,Szybkość pionowa (z wysokości),Przyspieszenie [g],Przemieszczenie poziome [m],Czas lepszy [t]
Start,53.35592,15.63876,108.9,11:34:59,2,0.69,12,1,1007,1007,Zapłon,108.08,0.08,0,0,1.9,0
Start,53.35592,15.63876,108.9,11:34:59,4,0.69,12,1,998.6,1040.7,Zapłon,178.51,70.51,35.22,1.8,1.9,2
Start,53.35592,15.63876,108.9,11:34:59,6,0.69,12,1,973.4,1108,Zapłon,392.74,284.74,107.11,3.66,1.9,4
Start,53.35592,15.63876,108.9,11:34:59,8,0.69,12,1,939.7,1015.5,Zapłon,686.36,578.36,146.81,2.02,1.9,6
Start,53.35592,15.63876,108.9,11:34:59,10,0.69,12,1,914.5,965,Brak połączenia,911.54,803.54,112.59,-1.74,1.9,8
Start,53.35592,15.63876,108.9,11:34:59,12,0.69,12,1,897.6,922.9,Brak połączenia,1065.39,957.39,76.92,-1.82,1.9,10
Start,53.35592,15.63876,108.9,11:34:59,14,0.69,12,1,889.2,897.6,Brak połączenia,1142.73,1034.73,38.67,-1.95,1.9,12
Start,53.35592,15.63876,108.9,11:34:59,16,0.69,12,1,880.8,880.8,Brak połączenia,1220.67,1112.67,38.97,0.02,1.9,14
Start,53.35592,15.63876,108.9,11:34:59,18,0.69,12,1,872.4,872.4,Brak połączenia,1299.21,1191.21,39.27,0.02,1.9,16
Start,53.35592,15.63876,108.9,11:34:59,20,0.69,12,0,872.4,872.4,Brak połączenia,1299.21,1191.21,0,-2,1.9,18
Opadanie na pilocie,53.35592,15.63876,108.9,11:34:59,22,0.69,12,0,880.8,880.8,Brak połączenia,1220.67,1112.67,-,-,1.9,20
Opadanie na pilocie,53.35592,15.63876,108.9,11:34:59,24,0.69,12,0,880.8,880.8,Brak połączenia,1220.67,1112.67,-,-,1.9,22
