CLC; Time; ax; ay; az; gx; gy; gz; mx; my; mz; pressure; altitude; temperature; kalman; simulationApogee; servo postiton; rocketState; air brake status; igniter status; apogee detection status; sd error;s imu error; rocket error;
CLC; 151215; 0,564; -0,206; -3,051; -8,750; -13,615; -10,920; 0,771; -0,350; 1,053; 1007,389; -1,005;  13; 0,000; 0,000;   0; 0; 0; 0; 0; 0; 0; 0;
CLC; 151266; 0,798; 0,828; -4,995; -93,275; -42,455; 15,155; 0,771; -0,350; 1,053; 1007,444; -1,462;  13; 0,000; -1,005;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 151318; 0,908; 0,484; -6,594; 44,415; 1,540; 8,540; 0,747; -0,325; 1,090; 1007,444; -1,462;  13; 0,000; -1,462;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 151387; 1,093; -0,427; -7,186; -24,745; 25,445; 17,360; 0,747; -0,325; 1,090; 1007,392; -1,031;  13; 0,000; -1,462;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 151476; 1,683; -0,176; -8,918; -35,560; 4,165; 12,285; 0,764; -0,301; 1,095; 1007,369; -0,839;  13; 0,000; -1,031;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 151544; 1,954; -0,148; -8,496; -17,185; -6,685; 62,475; 0,737; -0,324; 1,064; 1007,149; 1,006;  13; 0,000; -0,839;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 151748; 1,884; -0,505; -12,546; -11,130; -18,760; 100,380; 0,785; -0,303; 1,068; 1006,269; 8,377;  13; 0,000; 1,006;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 152275; 1,480; -0,225; -12,876; -50,400; 7,595; 261,660; 1,005; -0,513; 1,085; 1002,054; 43,759;  13; 0,000; 8,377;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 152622; 1,865; -0,342; -7,280; -115,990; 22,120; 286,685; 0,725; -0,602; 1,083; 997,255; 84,192;  13; 0,000; 43,759;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 152755; 0,920; -0,488; -5,236; -106,470; -7,805; 286,685; 0,711; -0,522; 1,068; 994,252; 109,571;  13; 0,000; 84,192;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 152813; 1,047; -0,099; -4,600; -109,655; 36,925; 286,685; 0,672; -0,391; 1,079; 992,743; 122,349;  13; 0,000; 109,571;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 152865; 1,374; 0,346; -3,861; -129,990; -35,280; 286,685; 0,790; -0,304; 1,101; 991,147; 135,882;  13; 0,000; 122,349;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 152918; 0,860; -0,459; -3,357; -65,555; 18,025; 286,685; 0,790; -0,304; 1,101; 991,147; 135,882;  13; 0,000; 135,882;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 152970; 0,790; 0,450; -2,772; -125,195; -21,630; 286,685; 0,937; -0,334; 1,086; 989,769; 147,578;  13; 0,000; 135,882;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 153028; 1,024; -0,412; -2,006; -35,420; 13,405; 286,685; 0,937; -0,334; 1,086; 988,236; 160,609;  13; 0,000; 147,578;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 153080; 0,942; -0,485; -1,723; -49,560; 20,090; 286,685; 1,001; -0,468; 1,095; 988,236; 160,609;  13; 0,000; 160,609;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 153132; 0,436; -0,202; -1,548; -56,875; -27,685; 286,685; 1,001; -0,468; 1,095; 986,774; 173,048;  13; 0,000; 160,609;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 153190; 0,868; -0,008; -0,924; 55,335; 5,670; 286,685; 0,913; -0,602; 1,091; 985,295; 185,650;  13; 0,000; 173,048;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 153242; 0,689; -0,073; -0,389; -109,235; 16,870; 286,685; 0,913; -0,602; 1,091; 985,295; 185,650;  13; 0,000; 185,650;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 153320; 0,524; 0,132; -0,085; -6,090; 50,645; 286,685; 0,759; -0,612; 1,080; 983,747; 198,853;  13; 0,000; 185,650;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 153384; 0,745; -0,375; 0,243; 16,030; 31,675; 286,685; 0,655; -0,508; 1,075; 982,416; 210,223;  13; 0,000; 198,853;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 153442; 1,033; -0,387; 0,621; 3,780; -0,910; 286,685; 0,655; -0,508; 1,075; 980,842; 223,677;  13; 0,000; 210,223;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 153494; -0,079; -0,060; 0,705; -27,615; 41,615; 286,685; 0,719; -0,395; 1,073; 980,842; 223,677;  13; 0,000; 223,677;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 153546; 0,316; -0,372; 1,190; -47,950; 42,210; 286,685; 0,811; -0,295; 1,100; 979,498; 235,188;  13; 0,000; 223,677;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 153604; 0,926; -0,343; 1,095; -134,715; -20,825; 286,685; 0,811; -0,295; 1,100; 978,069; 247,433;  13; 0,000; 235,188;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 153656; 0,128; -0,017; 1,262; -51,310; 7,280; 286,685; 0,961; -0,341; 1,099; 978,069; 247,433;  13; 0,000; 247,433;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 153708; -0,111; -0,397; 1,108; -141,400; -2,450; 286,685; 0,961; -0,341; 1,099; 976,666; 259,470;  13; 0,000; 247,433;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 153761; -0,106; 0,459; 1,159; -126,455; -31,640; 286,685; 1,010; -0,491; 1,092; 975,329; 270,954;  13; 0,000; 259,470;   0; 1; 0; 0; 0; 0; 0; 0;
CLC; 153819; 0,125; 0,030; 1,130; -63,770; 9,870; 286,685; 1,010; -0,491; 1,092; 975,329; 270,954;  13; 0,000; 270,954;   0; 1; 0; 0; 0; 0; 0; 0;
